ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
8603,1.682,NA,NA,NA,NA,18860,1.302,3685,1.518,NA,NA,115.5,0.9932
9807,1.854,NA,NA,NA,NA,19880,1.678,3940,1.508,NA,NA,102.3,1.009
7557,1.968,NA,NA,NA,NA,18050,1.879,3158,1.318,NA,NA,112.7,0.9603
8112,1.681,NA,NA,NA,NA,18350,1.928,3616,1.106,NA,NA,123.1,1.031
8727,1.583,NA,NA,NA,NA,17040,1.43,4238,1.162,NA,NA,114.7,0.9508
9173,1.969,NA,NA,NA,NA,18100,1.836,4511,1.486,NA,NA,119.1,1.057
9616,1.731,NA,NA,NA,NA,15870,1.609,3582,1.537,NA,NA,130.5,0.9501
9183,1.516,NA,NA,NA,NA,22380,1.716,3633,1.49,NA,NA,118.7,0.9137
8385,1.862,NA,NA,NA,NA,25360,1.086,3676,1.477,NA,NA,121.2,1.103
11020,1.773,NA,NA,NA,NA,23480,1.291,3419,1.454,NA,NA,122.8,0.9241